audio_name,absolute_file_path,relative_file_path,duration,sample_rate,total_samples,min_amplitude_abs,max_amplitude_abs,mean_amplitude_abs,median_amplitude_abs,std_amplitude_abs,rms_amplitude,p01_amplitude,p05_amplitude,p10_amplitude,p25_amplitude,p50_amplitude,p75_amplitude,p90_amplitude,p95_amplitude,p99_amplitude,dynamic_range_db,crest_factor,min_amplitude
transport_039_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_039_transport_sound.mp3,sounds\transport_039_transport_sound.mp3,19.115,44100,842957,1e-08,0.831413,0.054575,0.02614,0.07670564,0.094139,0.00010739,0.0008003,0.00202998,0.00761856,0.02613977,0.0657935,0.14792685,0.21749374,0.36896577,160.8,8.83,1e-08
transport_040_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_040_transport_sound.mp3,sounds\transport_040_transport_sound.mp3,14.082,44100,621015,0.0,0.560681,0.061046,0.033476,0.07397403,0.09591,1.2e-07,0.00161349,0.00413277,0.01307661,0.03347624,0.07811152,0.16024855,0.22579104,0.34235585,194.97,5.85,0.0
transport_041_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_041_transport_sound.mp3,sounds\transport_041_transport_sound.mp3,5.547,44100,244622,0.0,0.756427,0.174476,0.139435,0.14595339,0.227474,0.0,0.00485879,0.01810319,0.06082024,0.139435,0.24792983,0.39110097,0.48382568,0.6062142,197.58,3.33,0.0
transport_042_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_042_transport_sound.mp3,sounds\transport_042_transport_sound.mp3,6.075,44100,267907,0.0,0.618019,0.021488,0.013547,0.02781476,0.035148,0.0,0.00039323,0.00139697,0.00492712,0.01354678,0.02881536,0.04804237,0.06514419,0.12897737,195.82,17.58,0.0
transport_043_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_043_transport_sound.mp3,sounds\transport_043_transport_sound.mp3,8.76,44100,386315,0.0,0.188425,0.02137,0.014457,0.02108873,0.030024,0.0,0.00040367,0.00127469,0.00488496,0.01445734,0.03211057,0.05238914,0.06486318,0.08713727,185.5,6.28,0.0
transport_044_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_044_transport_sound.mp3,sounds\transport_044_transport_sound.mp3,9.219,44100,406558,0.0,0.735282,0.170895,0.153242,0.11906576,0.208283,0.0,0.00948654,0.02652082,0.07606038,0.15324157,0.24716318,0.3380124,0.39588457,0.48983923,197.33,3.53,0.0
transport_045_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_045_transport_sound.mp3,sounds\transport_045_transport_sound.mp3,3.513,44100,154923,0.0,0.819296,0.080772,0.062106,0.07480758,0.110092,0.0,0.00024143,0.00532026,0.02490086,0.06210551,0.11552022,0.17892672,0.22584099,0.33622772,198.27,7.44,0.0
transport_046_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_046_transport_sound.mp3,sounds\transport_046_transport_sound.mp3,12.277,44100,541431,0.0,0.858766,0.05201,0.026128,0.06870257,0.086169,3.99e-06,9.174e-05,0.00062082,0.00548014,0.02612819,0.0725217,0.1387943,0.19063774,0.30895567,174.07,9.97,0.0
transport_047_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_047_transport_sound.mp3,sounds\transport_047_transport_sound.mp3,2.676,44100,118011,0.0,0.097406,0.012723,0.007246,0.01505227,0.019709,0.0,1.5e-07,0.00053614,0.00279725,0.00724599,0.01599606,0.03452308,0.04680818,0.06744756,179.77,4.94,0.0
transport_048_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_048_transport_sound.mp3,sounds\transport_048_transport_sound.mp3,7.347,44100,324002,0.0,0.550761,0.116687,0.097652,0.09431167,0.150035,0.0,0.00376977,0.01216126,0.04047219,0.09765168,0.1705458,0.2475427,0.30262098,0.40205583,194.82,3.67,0.0
transport_049_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_049_transport_sound.mp3,sounds\transport_049_transport_sound.mp3,1.74,44100,76734,0.0,0.64413,0.111348,0.094648,0.09382217,0.145605,0.0,0.0,0.00047803,0.03035444,0.09464782,0.1720333,0.24572027,0.28955755,0.3655854,196.18,4.42,0.0
transport_050_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_050_transport_sound.mp3,sounds\transport_050_transport_sound.mp3,14.205,44100,626440,0.0,0.478805,0.119408,0.099438,0.09179223,0.150613,7.9e-07,0.00767392,0.01792014,0.04713312,0.09943761,0.17144534,0.25613594,0.30912295,0.374022,193.6,3.18,0.0
transport_051_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_051_transport_sound.mp3,sounds\transport_051_transport_sound.mp3,5.018,44100,221298,0.0,0.852364,0.013679,0.000104,0.0395722,0.04187,4.7e-07,2.37e-06,5.02e-06,1.487e-05,0.00010381,0.00576442,0.03852686,0.08235495,0.20870627,197.03,20.36,0.0
transport_052_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_052_transport_sound.mp3,sounds\transport_052_transport_sound.mp3,15.429,44100,680419,0.0,0.454448,0.035339,0.026476,0.03375389,0.048869,2.526e-05,0.00199158,0.00446918,0.01203168,0.02647594,0.04799732,0.07545716,0.09873457,0.16275394,193.15,9.3,0.0
transport_053_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_053_transport_sound.mp3,sounds\transport_053_transport_sound.mp3,11.172,44100,492684,0.0,0.820524,0.086469,0.072765,0.06816002,0.110103,0.0,0.00440213,0.01128202,0.03254946,0.07276505,0.12698707,0.18044284,0.20985813,0.27626973,198.28,7.45,0.0
transport_054_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_054_transport_sound.mp3,sounds\transport_054_transport_sound.mp3,1.287,44100,56757,0.0,0.657518,0.052885,0.019329,0.07714645,0.093533,0.0,0.0,2.2e-07,0.00270279,0.01932856,0.06917764,0.16205923,0.22663338,0.33477023,196.36,7.03,0.0
transport_055_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_055_transport_sound.mp3,sounds\transport_055_transport_sound.mp3,19.68,44100,867887,0.0,0.363542,0.031528,0.020085,0.03370036,0.046149,1.965e-05,0.00045798,0.00135578,0.00614785,0.020085,0.0465858,0.07789538,0.0995749,0.14766191,191.21,7.88,0.0
transport_056_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_056_transport_sound.mp3,sounds\transport_056_transport_sound.mp3,22.362,44100,986164,0.0,0.946046,0.089413,0.071526,0.07649491,0.117669,0.00025432,0.00454906,0.01071451,0.0312696,0.07152592,0.12767601,0.19069722,0.2352572,0.33421382,199.52,8.04,0.0
transport_057_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_057_transport_sound.mp3,sounds\transport_057_transport_sound.mp3,8.361,44100,368720,0.0,0.815234,0.107266,0.093264,0.0805333,0.134133,0.0,0.00511486,0.01470838,0.04370722,0.09326447,0.1555854,0.2169875,0.2552859,0.34286553,198.23,6.08,0.0
